\begin{tabular}{|c|c|c|c|c|}
\toprule
 Alpha &  Metoda intuicyjna &  Ulepszona metoda intuicyjna &  Metoda najmniejszych wariancji &  Metoda Karnin'a \\
\midrule
   0 &             0.0000 &                       0.0000 &                          0.0000 &           0.0000 \\
   1 &             0.0156 &                       0.3750 &                        137.5000 &           0.1094 \\
   2 &             0.0000 &                       1.2344 &                        137.8750 &           0.2188 \\
   3 &             0.0000 &                       2.3281 &                        137.1406 &           0.3281 \\
   4 &             0.0000 &                       2.7656 &                        136.2969 &           0.4688 \\
   5 &             0.0000 &                       3.4688 &                        136.6719 &           0.5625 \\
   6 &             0.0000 &                       3.7969 &                        137.7188 &           1.2031 \\
   7 &             0.0156 &                       4.7031 &                        136.5781 &           2.3906 \\
   8 &             0.0156 &                       5.0156 &                        137.1406 &           3.4844 \\
   9 &             0.0156 &                       5.9531 &                        136.6719 &           4.7188 \\
  10 &             0.0156 &                       7.9688 &                        137.0469 &           5.3438 \\
  11 &             0.0312 &                       9.5469 &                        137.6875 &           6.6094 \\
  12 &             0.0156 &                      10.8438 &                        137.1250 &           7.7812 \\
  13 &             0.0312 &                      11.8750 &                        137.6875 &           8.3438 \\
  14 &             0.0156 &                      13.1719 &                        136.9219 &           8.6719 \\
  15 &             0.0156 &                      14.7969 &                        136.0156 &           9.5781 \\
  16 &             0.0312 &                      16.1250 &                        138.7812 &           9.5938 \\
  17 &             0.0312 &                      17.6250 &                        136.7656 &          10.7812 \\
  18 &             0.0312 &                      19.2656 &                        137.1406 &          11.4844 \\
  19 &             0.0312 &                      20.8125 &                        136.8281 &          12.2500 \\
  20 &             0.0312 &                      22.5625 &                        136.8438 &          12.7969 \\
  21 &             0.0312 &                      24.3750 &                        137.0625 &          14.1875 \\
  22 &             0.0312 &                      26.5312 &                        137.5156 &          15.3594 \\
  23 &             0.0312 &                      27.3125 &                        137.5938 &          16.6406 \\
  24 &             0.0469 &                      28.0781 &                        136.5938 &          18.0156 \\
  25 &             0.0469 &                      29.2188 &                        137.0938 &          19.0000 \\
  26 &             0.0469 &                      30.1719 &                        137.2188 &          20.7656 \\
  27 &             0.0469 &                      31.2969 &                        136.6250 &          21.0156 \\
  28 &             0.0469 &                      33.7812 &                        136.8750 &          21.5469 \\
  29 &             0.0469 &                      34.8438 &                        136.8594 &          23.0625 \\
  30 &             0.0469 &                      36.6562 &                        136.7031 &          24.4844 \\
  31 &             0.0469 &                      38.0312 &                        136.8438 &          25.9375 \\
  32 &             0.0625 &                      40.0625 &                        138.7031 &          26.5781 \\
  33 &             0.0625 &                      42.0000 &                        137.2656 &          28.9062 \\
  34 &             0.0625 &                      44.1094 &                        136.8594 &          29.8906 \\
  35 &             0.0469 &                      46.8906 &                        137.0938 &          30.7500 \\
  36 &             0.0625 &                      47.7344 &                        136.9688 &          31.3906 \\
  37 &             0.0469 &                      48.5312 &                        136.6094 &          32.2656 \\
  38 &             0.0625 &                      50.1406 &                        136.7031 &          33.2500 \\
  39 &             0.0625 &                      52.1250 &                        136.7656 &          34.8438 \\
  40 &             0.0625 &                      52.9531 &                        137.0781 &          35.9844 \\
  41 &             0.0625 &                      55.2969 &                        137.0312 &          37.1094 \\
  42 &             0.0781 &                      57.1719 &                        136.9531 &          39.2656 \\
  43 &             0.0781 &                      58.5938 &                        137.1406 &          40.4375 \\
  44 &             0.0781 &                      60.0781 &                        136.5000 &          41.4062 \\
  45 &             0.0781 &                      61.8281 &                        137.0625 &          43.3594 \\
  46 &             0.0781 &                      64.5625 &                        136.7969 &          44.3281 \\
  47 &             0.0781 &                      65.8125 &                        137.1875 &          46.7656 \\
  48 &             0.1094 &                      67.1719 &                        137.0000 &          48.3594 \\
  49 &             0.0781 &                      68.3906 &                        136.9375 &          49.9531 \\
  50 &             0.0938 &                      69.8750 &                        137.0312 &          52.1562 \\
  51 &             0.0781 &                      72.3281 &                        136.5000 &          54.6719 \\
  52 &             0.0781 &                      73.4531 &                        136.9688 &          55.4219 \\
  53 &             0.0781 &                      76.2031 &                        137.2656 &          57.1094 \\
  54 &             0.0938 &                      77.8438 &                        137.0938 &          59.2031 \\
  55 &             0.0938 &                      79.7812 &                        136.9531 &          61.9062 \\
  56 &             0.0938 &                      82.1875 &                        136.9219 &          64.4062 \\
  57 &             0.1094 &                      83.2188 &                        136.3438 &          65.2188 \\
  58 &             0.0938 &                      85.2031 &                        137.2188 &          66.8750 \\
  59 &             0.1250 &                      88.5938 &                        136.6719 &          68.6406 \\
  60 &             0.1250 &                      88.8594 &                        137.6250 &          70.5938 \\
  61 &             0.1250 &                      91.5469 &                        137.0312 &          71.6094 \\
  62 &             0.0938 &                      94.5000 &                        137.2188 &          72.9375 \\
  63 &             0.0938 &                      95.9375 &                        136.7500 &          74.3438 \\
  64 &             0.1094 &                      98.7969 &                        137.0000 &          77.1250 \\
  65 &             0.1250 &                     100.8125 &                        137.1875 &          78.9688 \\
  66 &             0.1094 &                     102.2344 &                        137.2031 &          81.7656 \\
  67 &             0.1094 &                     104.6562 &                        137.0938 &          84.7812 \\
  68 &             0.1094 &                     105.3438 &                        136.7344 &          85.8750 \\
  69 &             0.1094 &                     106.4688 &                        137.6719 &          89.1875 \\
  70 &             0.1250 &                     108.1719 &                        137.0781 &          90.2344 \\
  71 &             0.1250 &                     109.1250 &                        137.0000 &          91.9844 \\
  72 &             0.1094 &                     110.9531 &                        137.2031 &          95.0000 \\
  73 &             0.1094 &                     113.0312 &                        137.8594 &          96.7031 \\
  74 &             0.1094 &                     114.3281 &                        137.0469 &          98.9219 \\
  75 &             0.2031 &                     116.2656 &                        137.4219 &         100.4531 \\
  76 &             0.1250 &                     117.0469 &                        137.6406 &         103.0156 \\
  77 &             0.1250 &                     118.4531 &                        136.9219 &         104.3906 \\
  78 &             0.1406 &                     119.6875 &                        137.6562 &         106.5000 \\
  79 &             0.1250 &                     122.3750 &                        137.1562 &         109.7500 \\
  80 &             0.1406 &                     124.2344 &                        137.2969 &         110.2500 \\
  81 &             0.1406 &                     125.1250 &                        137.1562 &         112.6562 \\
  82 &             0.1406 &                     126.3281 &                        137.1562 &         114.9531 \\
  83 &             0.1250 &                     126.8750 &                        136.8438 &         115.8750 \\
  84 &             0.1406 &                     129.4219 &                        137.2500 &         116.3750 \\
  85 &             0.1406 &                     130.3125 &                        136.7188 &         118.1875 \\
  86 &             0.1406 &                     131.8281 &                        137.2344 &         120.8281 \\
  87 &             0.1562 &                     133.6875 &                        137.1719 &         122.3281 \\
  88 &             0.1562 &                     134.0000 &                        138.0000 &         124.4375 \\
  89 &             0.1406 &                     134.6875 &                        137.9531 &         127.0938 \\
  90 &             0.1406 &                     135.2656 &                        137.2656 &         129.2656 \\
  91 &             0.1562 &                     136.7500 &                        136.8594 &         131.4688 \\
  92 &             0.1719 &                     136.3438 &                        137.4219 &         133.1250 \\
  93 &             0.1406 &                     137.9688 &                        136.7344 &         135.8906 \\
  94 &             0.1562 &                     137.5156 &                        137.5156 &         136.3750 \\
  95 &             0.1562 &                     137.3281 &                        137.0469 &         136.5938 \\
  96 &             0.1562 &                     137.7969 &                        137.4062 &         136.7188 \\
  97 &             0.1562 &                     137.7031 &                        137.1094 &         137.1094 \\
  98 &             0.1562 &                     138.2969 &                        137.3438 &         136.7500 \\
  99 &             0.1562 &                     137.5938 &                        136.9062 &         137.3750 \\
 100 &             0.1562 &                     138.2031 &                        137.4844 &         137.7188 \\   
\bottomrule
\end{tabular}
